timeSeries,lon,lat
"140",-154.04109,56.707058
"141",-154.02473,56.70706
"145",-154.05746,56.716015
"146",-154.00838,56.716026
"152",-154.10655,56.71598
"153",-154.07382,56.716003
"155",-154.05748,56.724976
"159",-154.0411,56.724983
"160",-154.00838,56.72499
"163",-154.02475,56.73395
"169",-154.10667,56.76079
"177",-154.09032,56.769768
"178",-154.07393,56.76978
"179",-154.05754,56.769787
"180",-153.95923,56.769794
"181",-153.94284,56.769787
"187",-154.1231,56.76974
"188",-154.04117,56.778755
"189",-154.02478,56.778763
"190",-154.00839,56.778763
"191",-153.9756,56.778763
"192",-153.91003,56.778732
"202",-154.09036,56.787693
"203",-153.91002,56.787693
"204",-153.89363,56.787678
"222",-154.10677,56.787678
"240",-154.0904,56.796654
"241",-153.87717,56.805588
"256",-154.074,56.805626
"257",-153.87714,56.81455
"272",-154.07402,56.81459
"273",-153.8607,56.823494
"286",-154.05762,56.814598
"287",-153.82784,56.832413
"300",-154.05765,56.83252
"315",-154.04124,56.841488
"326",-154.04124,56.850452
"327",-153.8277,56.8593
"328",-153.81128,56.859272
"339",-154.02484,56.859417
"340",-153.81123,56.868233
"341",-153.77837,56.86818
"342",-153.71265,56.868042
"343",-153.69621,56.868
"359",-154.27132,56.868076
"360",-154.0084,56.859417
"361",-153.99197,56.859417
"362",-153.72906,56.86808
"371",-154.23851,56.87711
"372",-154.22208,56.87714
"373",-153.9591,56.868374
"374",-153.76181,56.88607
"375",-153.71257,56.877003
"376",-153.6797,56.87692
"392",-154.255,56.886036
"393",-154.23857,56.88607
"394",-153.95909,56.886295
"395",-153.74532,56.894997
"396",-153.66318,56.885838
"408",-154.25507,56.894997
"409",-154.22218,56.89506
"410",-153.94264,56.89525
"411",-153.69606,56.88592
"422",-154.25513,56.903957
"423",-154.2387,56.90399
"424",-154.20584,56.91301
"425",-153.94263,56.90421
"426",-153.7452,56.912918
"427",-153.71228,56.912846
"428",-153.69583,56.912804
"429",-153.56422,56.912407
"430",-153.54778,56.912346
"441",-154.2552,56.912918
"442",-154.22235,56.921944
"443",-153.92618,56.9042
"444",-153.6793,56.921722
"445",-153.58067,56.912464
"459",-154.23886,56.930874
"460",-154.20589,56.92197
"461",-153.90968,56.92211
"462",-153.56412,56.921368
"471",-154.27185,56.939762
"472",-154.20595,56.93093
"473",-153.87674,56.931046
"474",-153.67923,56.930683
"475",-153.54765,56.921307
"488",-154.30478,56.939686
"489",-153.86028,56.931026
"490",-153.82736,56.930984
"506",-154.30486,56.948647
"507",-154.22256,56.957787
"508",-154.206,56.93989
"509",-154.18962,56.95784
"510",-154.17316,56.957867
"511",-154.15668,56.957886
"512",-153.82727,56.948906
"513",-153.69545,56.957607
"514",-153.62956,56.957424
"515",-153.6131,56.957375
"516",-153.59662,56.95732
"517",-153.58015,56.957264
"534",-154.33795,56.96648
"535",-153.90958,56.966915
"536",-153.81076,56.95784
"537",-153.64604,56.957474
"555",-154.32156,56.975483
"556",-154.30493,56.957607
"557",-154.28845,56.957645
"558",-154.27199,56.957684
"559",-154.23917,56.975674
"560",-154.15675,56.975807
"561",-153.92603,56.975887
"562",-153.81071,56.9668
"563",-153.64595,56.966434
"564",-153.57994,56.975185
"583",-154.35461,56.984352
"584",-154.30516,56.984486
"585",-154.28867,56.984528
"586",-154.2557,56.9846
"587",-153.9425,56.975895
"588",-153.90955,56.975876
"589",-153.87656,56.984806
"590",-153.81067,56.97576
"591",-153.67874,56.984447
"592",-153.64586,56.975395
"593",-153.54688,56.984028
"613",-154.43713,56.993046
"614",-154.38757,56.984253
"615",-154.14032,56.984787
"616",-154.0579,56.993816
"617",-153.94249,56.984856
"618",-153.81058,56.993683
"619",-153.77765,56.984665
"620",-153.66217,56.993362
"621",-153.53027,56.992924
"636",-154.43724,57.002007
"637",-154.40427,57.00212
"638",-154.07442,57.002766
"639",-154.04143,57.00278
"640",-153.94249,56.993816
"641",-153.8765,57.002728
"642",-153.76111,56.993595
"651",-154.45386,57.010906
"652",-154.14035,56.993748
"653",-154.0909,57.002754
"654",-154.02493,57.011745
"655",-153.92598,57.002766
"656",-153.82703,57.002666
"657",-153.77748,57.011547
"658",-153.74449,57.011482
"659",-153.26611,57.009544
"668",-154.48685,57.01078
"669",-154.15695,57.020607
"670",-154.14046,57.020626
"671",-154.09094,57.020676
"672",-153.92596,57.011726
"673",-153.84343,57.020607
"674",-153.79393,57.020535
"675",-153.54665,57.00195
"676",-153.2991,57.00974
"677",-153.24944,57.018406
"686",-154.48697,57.019737
"687",-154.10745,57.02066
"688",-154.02495,57.020706
"689",-153.90944,57.020676
"690",-153.81042,57.02056
"691",-153.28242,57.018604
"692",-153.23274,57.02726
"704",-154.48709,57.028698
"705",-154.14049,57.029587
"706",-154.09097,57.029633
"707",-154.00845,57.038628
"708",-153.90941,57.029633
"709",-153.8434,57.029568
"710",-153.62883,57.029106
"711",-153.59592,57.02004
"712",-153.57942,57.019985
"713",-153.56293,57.019928
"714",-153.54642,57.019867
"715",-153.31526,57.027752
"716",-153.21603,57.036118
"731",-154.48721,57.03766
"732",-154.12404,57.047523
"733",-154.07448,57.038605
"734",-154.00845,57.047585
"735",-153.9259,57.038605
"736",-153.59563,57.046917
"737",-153.5791,57.046864
"738",-153.29858,57.036617
"739",-153.19934,57.044968
"760",-154.48734,57.046616
"761",-154.10756,57.0565
"762",-154.07451,57.047565
"763",-153.97542,57.056545
"764",-153.9094,57.038593
"765",-153.56259,57.046806
"766",-153.28189,57.04548
"794",-154.48746,57.055576
"795",-153.9589,57.0655
"796",-153.90935,57.05651
"797",-153.57901,57.05582
"798",-153.28171,57.05444
"799",-153.19914,57.05393
"818",-154.48756,57.064533
"819",-153.8928,57.06546
"820",-153.29805,57.06349
"838",-154.48769,57.073494
"839",-153.95888,57.07446
"840",-153.89278,57.074417
"841",-153.66133,57.082954
"842",-153.64499,57.06499
"843",-153.62846,57.06494
"844",-153.61194,57.06489
"845",-153.59541,57.06484
"846",-153.5789,57.06478
"847",-153.36382,57.08177
"848",-153.3144,57.072544
"849",-153.21507,57.08091
"867",-154.48781,57.082455
"868",-153.94232,57.09237
"869",-153.87622,57.083363
"870",-153.47939,57.091278
"871",-153.38034,57.081856
"872",-153.34712,57.090645
"873",-153.2977,57.08141
"895",-154.48793,57.09141
"896",-153.92577,57.10132
"897",-153.90924,57.101307
"898",-153.8597,57.083344
"899",-153.66125,57.091915
"900",-153.6281,57.100777
"901",-153.49593,57.091347
"902",-153.46286,57.091206
"903",-153.38019,57.090816
"904",-153.33043,57.099514
"905",-153.28099,57.090275
"906",-153.18161,57.09861
"936",-154.48805,57.100372
